"Address","Occurrences","H1-1","H1-1 Length","H1-2","H1-2 Length","Indexability","Indexability Status"
"https://wojewodastudio.pl/","2","730 796 861","11","Krystian Wojewoda Hair Design – Najlepszy fryzjer w Łodzi","57","Indexable",""
"https://wojewodastudio.pl/kosmetyki-do-pielegnacji-zniszczonych-wlosow-lista-must-have/","1","Kosmetyki do pielęgnacji zniszczonych włosów – lista must have","62","","0","Indexable",""
"https://wojewodastudio.pl/jaka-fryzura-pasuje-do-mojej-twarzy/","1","Jaka fryzura pasuje do mojej twarzy?","36","","0","Indexable",""
"https://wojewodastudio.pl/polityka-prywatnosci/","1","Polityka prywatności","20","","0","Indexable",""
"https://wojewodastudio.pl/regulamin-salonu/","1","Regulamin salonu","16","","0","Indexable",""
"https://wojewodastudio.pl/kategorie/trendy/","3","Kosmetyki do pielęgnacji zniszczonych włosów – lista must have","62","Jak dbać o skórę głowy","22","Indexable",""
"https://wojewodastudio.pl/cennik/","1","Cennik usług fryzjerskich – Wojewoda Studio","43","","0","Indexable",""
"https://wojewodastudio.pl/koszyk/","1","Koszyk","6","","0","Non-Indexable","noindex"
"https://wojewodastudio.pl/blog/","3","Kosmetyki do pielęgnacji zniszczonych włosów – lista must have","62","Jak dbać o skórę głowy","22","Indexable",""
"https://wojewodastudio.pl/jak-dbac-o-skore-glowy/","1","Jak dbać o skórę głowy","22","","0","Indexable",""
"https://wojewodastudio.pl/zespol/","0","","0","","0","Indexable",""
"https://wojewodastudio.pl/zespol/julia/","1","Julia Jula Młodsza Stylistka","28","","0","Indexable",""
"https://wojewodastudio.pl/zespol/aneta/","1","Aneta Andzia Starsza Stylistka","30","","0","Indexable",""
"https://wojewodastudio.pl/zespol/mariola-snieg/","1","Mariola Śnieg Mario Stylistka/technik koloryzacji","49","","0","Indexable",""
"https://wojewodastudio.pl/zespol/monika/","1","Monika Monia Starsza Stylistka","30","","0","Indexable",""
"https://wojewodastudio.pl/zespol/romina/","1","Romina Roma Młodsza stylistka","29","","0","Indexable",""
"https://wojewodastudio.pl/zespol/marta/","1","Marta Wieru Manager/recepcja","28","","0","Indexable",""
"https://wojewodastudio.pl/zespol/krystian-wojewoda/","1","Krystian Wojewoda Zohan Stylista/fryzjer","40","","0","Indexable",""
"https://wojewodastudio.pl/zespol/danuta/","1","Danuta Danusia Starsza Stylistka","32","","0","Indexable",""
"https://wojewodastudio.pl/zespol/ania/","1","Ania Anka Starsza Stylistka","27","","0","Indexable",""
