"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Description 2","Meta Description 2 Length","Meta Description 2 Pixel Width","Indexability","Indexability Status"
"https://wojewodastudio.pl/","2","Najlepszy fryzjer w Łodzi","25","153","Najlepszy fryzjer w Łodzi i okolicach ♛ W salonie Wojewoda Studio pracujemy na najlepszych kosmetykach: Kevin Murphy, Alterna, Nashi Argan, Davines.","148","936","Indexable",""
"https://wojewodastudio.pl/kosmetyki-do-pielegnacji-zniszczonych-wlosow-lista-must-have/","1","Najlepszy fryzjer w Łodzi","25","153","","0","0","Indexable",""
"https://wojewodastudio.pl/jaka-fryzura-pasuje-do-mojej-twarzy/","1","Najlepszy fryzjer w Łodzi","25","153","","0","0","Indexable",""
"https://wojewodastudio.pl/polityka-prywatnosci/","1","Najlepszy fryzjer w Łodzi","25","153","","0","0","Indexable",""
"https://wojewodastudio.pl/regulamin-salonu/","1","Najlepszy fryzjer w Łodzi","25","153","","0","0","Indexable",""
"https://wojewodastudio.pl/kategorie/trendy/","1","Najlepszy fryzjer w Łodzi","25","153","","0","0","Indexable",""
"https://wojewodastudio.pl/cennik/","2","Najlepszy fryzjer w Łodzi","25","153","Najlepszy fryzjer w Łodzi i okolicach ♛ Poznaj ceny usług fryzjerskich w salonie Wojewoda Studio: farbowanie, strzyżenie, modelowanie,balayage.","143","891","Indexable",""
"https://wojewodastudio.pl/koszyk/","1","Najlepszy fryzjer w Łodzi","25","153","","0","0","Non-Indexable","noindex"
"https://wojewodastudio.pl/blog/","1","Najlepszy fryzjer w Łodzi","25","153","","0","0","Indexable",""
"https://wojewodastudio.pl/jak-dbac-o-skore-glowy/","1","Najlepszy fryzjer w Łodzi","25","153","","0","0","Indexable",""
"https://wojewodastudio.pl/zespol/","1","Najlepszy fryzjer w Łodzi","25","153","","0","0","Indexable",""
"https://wojewodastudio.pl/zespol/julia/","1","Najlepszy fryzjer w Łodzi","25","153","","0","0","Indexable",""
"https://wojewodastudio.pl/zespol/aneta/","1","Najlepszy fryzjer w Łodzi","25","153","","0","0","Indexable",""
"https://wojewodastudio.pl/zespol/mariola-snieg/","2","Najlepszy fryzjer w Łodzi","25","153","Poznaj najlepszą fryzjerkę w Łodzi - Mariolę Śnieg. Pasja, wieloletnie doświadczenie, genialna koloryzacja i cięcie włosów. Umów się na wizytę!","143","874","Indexable",""
"https://wojewodastudio.pl/zespol/monika/","1","Najlepszy fryzjer w Łodzi","25","153","","0","0","Indexable",""
"https://wojewodastudio.pl/zespol/romina/","1","Najlepszy fryzjer w Łodzi","25","153","","0","0","Indexable",""
"https://wojewodastudio.pl/zespol/marta/","1","Najlepszy fryzjer w Łodzi","25","153","","0","0","Indexable",""
"https://wojewodastudio.pl/zespol/krystian-wojewoda/","2","Najlepszy fryzjer w Łodzi","25","153","Poznaj najlepszego fryzjera w Łodzi - Krystian Wojewoda. Nowoczesny, pełnen pasji fryzjer z wieloletnim doświadczeniem. Umów się na wizytę!","139","883","Indexable",""
"https://wojewodastudio.pl/zespol/danuta/","1","Najlepszy fryzjer w Łodzi","25","153","","0","0","Indexable",""
"https://wojewodastudio.pl/zespol/ania/","1","Najlepszy fryzjer w Łodzi","25","153","","0","0","Indexable",""
